	tokens	surprisal
0	The	17.61652614560667
1	book	15.05581815409365
2	of	15.135119029728315
3	the	14.435698486269684
4	generation	16.134439640876177
5	of	15.239693437906435
6	Jesus	10.927893734900652
7	Christ	11.886476875761653
8	the	14.231613728079845
9	son	18.45087081308353
10	of	11.306086336062762
11	David	11.547249248629566
12	the	11.916257748628043
13	son	17.739672358313754
14	of	9.0389743042728
15	Abraham	12.92341385369441
16	Abraham	13.632103392442959
17	begat	29.454493572149033
18	Isaac	14.066646208701714
19	and	11.362877113370102
20	Isaac	12.99811698747048
21	begat	37.58756896126338
22	Jacob	13.573887685974366
23	and	10.402085326882727
24	Jacob	10.890366985222716
25	begat	42.09939815472079
26	Judas	28.86197073490885
27	and	11.868390117150879
28	his	13.107927319561485
29	brethren	20.27716589622914
30	And	11.578493837314628
31	Judas	36.713379870756356
32	begat	41.98522416039175
33	Phares	41.44169393264913
34	and	12.654539525303441
35	Zara	36.16931162360741
36	of	12.919044745476915
37	Thamar	39.862485151975335
38	and	8.7085212460723
39	Phares	45.07387938905207
40	begat	41.63015293698527
41	Esrom	32.82240657371556
42	and	8.796550277900828
43	Esrom	39.78773375051712
44	begat	36.464567244019904
45	Aram	17.13508305072866
46	And	10.572143835972906
47	Aram	18.493693871855264
48	begat	37.972255640267946
49	Aminadab	36.58278445677533
50	and	8.53564744792599
51	Aminadab	37.52329886440286
52	begat	38.85432677446198
53	Naasson	35.607915538852694
54	and	8.077430568094918
55	Naasson	46.42020321873414
56	begat	40.31866539252306
57	Salmon	16.553520418226967
58	And	12.48106355915314
59	Salmon	16.86408237096477
60	begat	39.60266499863629
61	Booz	35.221142756989515
62	of	12.532462482805167
63	Rachab	38.079277759720966
64	and	7.862583220653018
65	Booz	31.884027386308745
66	begat	37.697975699544315
67	Obed	25.74760062378155
68	of	12.50782052516348
69	Ruth	15.448507991203138
70	and	8.195510006810881
71	Obed	32.03478496076464
72	begat	39.85325122499461
73	Jesse	16.26708318751922
74	And	12.337709642852717
75	Jesse	14.404051676147539
76	begat	38.922073405720205
77	David	13.918588893257436
78	None	None
79	None	None
80	None	None
81	None	None
82	None	None
83	None	None
84	None	None
85	None	None
86	None	None
87	None	None
88	None	None
89	None	None
90	None	None
91	None	None
92	None	None
93	None	None
94	None	None
95	None	None
96	None	None
97	None	None
98	None	None
99	None	None
100	None	None
101	None	None
102	None	None
103	None	None
104	None	None
105	None	None
106	None	None
107	None	None
108	None	None
109	None	None
110	None	None
111	None	None
112	None	None
113	None	None
114	None	None
115	None	None
116	None	None
117	None	None
118	None	None
119	None	None
120	None	None
121	None	None
122	None	None
123	None	None
124	None	None
125	None	None
126	None	None
127	None	None
128	None	None
129	None	None
130	None	None
131	None	None
132	None	None
133	None	None
134	None	None
135	None	None
136	None	None
137	None	None
138	None	None
139	None	None
140	None	None
141	None	None
142	None	None
143	None	None
144	None	None
145	None	None
146	None	None
147	None	None
148	None	None
149	None	None
150	None	None
151	None	None
152	None	None
153	None	None
154	None	None
155	None	None
156	None	None
157	None	None
158	None	None
159	None	None
160	None	None
161	None	None
162	None	None
163	None	None
164	None	None
165	None	None
166	None	None
167	None	None
168	None	None
169	None	None
170	None	None
171	None	None
172	None	None
173	None	None
174	None	None
175	None	None
176	None	None
177	None	None
178	None	None
179	None	None
180	None	None
181	None	None
182	None	None
183	None	None
184	None	None
185	None	None
186	None	None
187	None	None
188	None	None
189	None	None
190	None	None
191	None	None
192	None	None
193	None	None
194	None	None
195	None	None
196	None	None
197	None	None
198	None	None
199	None	None
200	None	None
201	None	None
202	None	None
203	None	None
204	None	None
205	None	None
206	None	None
207	None	None
208	None	None
209	None	None
210	None	None
211	None	None
212	None	None
213	None	None
214	None	None
215	None	None
216	None	None
217	None	None
218	None	None
219	None	None
220	None	None
221	None	None
222	None	None
223	None	None
224	None	None
225	None	None
226	None	None
227	None	None
228	None	None
229	None	None
230	None	None
231	None	None
232	None	None
233	None	None
234	None	None
235	None	None
236	None	None
237	None	None
238	None	None
239	None	None
240	None	None
241	None	None
242	None	None
243	None	None
244	None	None
245	None	None
246	None	None
247	None	None
248	None	None
249	None	None
250	None	None
251	None	None
252	None	None
253	None	None
254	None	None
255	None	None
256	None	None
257	None	None
258	None	None
259	None	None
260	None	None
261	None	None
262	None	None
263	None	None
264	None	None
265	None	None
266	None	None
267	None	None
268	None	None
269	None	None
270	None	None
271	None	None
272	None	None
273	None	None
274	None	None
275	None	None
276	None	None
277	None	None
278	None	None
279	None	None
280	None	None
281	None	None
282	None	None
283	None	None
284	None	None
285	None	None
286	None	None
287	None	None
288	None	None
289	None	None
290	None	None
291	None	None
292	None	None
293	None	None
294	None	None
295	None	None
296	None	None
297	None	None
298	None	None
299	None	None
300	None	None
301	None	None
302	None	None
303	None	None
304	None	None
305	None	None
306	None	None
307	None	None
308	None	None
309	None	None
310	None	None
311	None	None
312	None	None
313	None	None
314	None	None
315	None	None
316	None	None
317	None	None
318	None	None
319	None	None
320	None	None
321	None	None
322	None	None
323	None	None
324	None	None
325	None	None
326	None	None
327	None	None
328	None	None
329	None	None
330	None	None
331	None	None
332	None	None
333	None	None
334	None	None
335	None	None
336	None	None
337	None	None
338	None	None
339	None	None
340	None	None
341	None	None
342	None	None
343	None	None
344	None	None
345	None	None
346	None	None
347	None	None
348	None	None
349	None	None
350	None	None
351	None	None
352	None	None
353	None	None
354	None	None
355	None	None
356	None	None
357	None	None
358	None	None
359	None	None
360	None	None
361	None	None
362	None	None
363	None	None
364	None	None
365	None	None
366	None	None
367	None	None
368	None	None
369	None	None
370	None	None
371	None	None
372	None	None
373	None	None
374	None	None
375	None	None
376	None	None
377	None	None
378	None	None
379	None	None
380	None	None
381	None	None
382	None	None
383	None	None
384	None	None
385	None	None
386	None	None
387	None	None
388	None	None
389	None	None
390	None	None
391	None	None
392	None	None
393	None	None
394	None	None
395	None	None
396	None	None
397	None	None
398	None	None
399	None	None
400	None	None
401	None	None
402	None	None
403	None	None
404	None	None
405	None	None
406	None	None
407	None	None
408	None	None
409	None	None
410	None	None
411	None	None
412	None	None
413	None	None
414	None	None
415	None	None
416	None	None
417	None	None
418	None	None
419	None	None
420	None	None
421	None	None
422	None	None
423	None	None
424	None	None
425	None	None
426	None	None
427	None	None
428	None	None
429	None	None
430	None	None
431	None	None
432	None	None
433	None	None
434	None	None
435	None	None
436	None	None
437	None	None
438	None	None
439	None	None
440	None	None
441	None	None
442	None	None
443	None	None
444	None	None
445	None	None
446	None	None
447	None	None
448	None	None
449	None	None
450	None	None
451	None	None
452	None	None
453	None	None
454	None	None
455	None	None
456	None	None
457	None	None
458	None	None
459	None	None
460	None	None
461	None	None
462	None	None
463	None	None
464	None	None
465	None	None
466	None	None
467	None	None
468	None	None
469	None	None
470	None	None
471	None	None
472	None	None
473	Now	15.562411603934228
474	when	12.31216441002109
475	Jesus	12.713705088177697
476	was	15.242440808572093
477	born	14.94336377314307
478	in	10.92632028787098
479	Bethlehem	23.18483162941
480	of	11.101054366925643
481	Judaea	38.29526718832223
482	in	10.92159783757469
483	the	13.382616724804588
484	days	14.600247223269736
485	of	11.711034119409494
486	Herod	15.185636686237988
487	the	17.244348740362827
488	king	14.67474190190806
489	behold	21.538334087757292
490	there	16.283400614767572
491	came	18.244378076832273
492	wise	16.373078846523953
493	men	17.196759063097325
494	from	11.998159068873754
495	the	13.776437784816904
496	east	9.831742282399228
497	to	13.058129049043954
498	Jerusalem	18.883188708379784
499	Saying	19.263922969805098
500	Where	17.947880751854143
501	is	11.060764438840929
502	he	10.256138072314947
503	that	9.980567406260764
504	is	10.371237540752734
505	born	12.822872792032305
506	King	8.29810736342887
507	of	14.31929441470037
508	the	15.31669586402076
509	Jews	18.97966599970378
510	for	13.710647768946659
511	we	13.658261853049972
512	have	13.32413080955602
513	seen	15.170449998753442
514	his	13.945421183887765
515	star	15.904984868219376
516	in	14.42082656911181
517	the	14.346072410055042
518	east	10.39656879291742
519	and	9.052972576781158
520	are	11.127684523296713
521	come	14.41415927925444
522	to	13.540756761568113
523	worship	15.249210327125672
524	him	13.179674546243305
525	When	13.200451569462539
526	Herod	20.28790714826842
527	the	16.89982148388668
528	king	14.298816767582307
529	had	9.188572092191949
530	heard	14.800488799037305
531	these	15.423431118154085
532	things	13.86586968188031
533	he	10.199860516204621
534	was	14.01906831816238
535	troubled	22.227108979105694
536	and	10.465605799619366
537	all	10.732397179188075
538	Jerusalem	16.022662684574165
539	with	12.946322980545313
540	him	11.517359302310739
541	And	11.425461327712704
542	when	8.478969814872578
543	he	11.327261427322062
544	had	8.832950507643208
545	gathered	16.84376273902846
546	all	10.624971310356463
547	the	14.673582857105822
548	chief	12.866904991560036
549	priests	17.44800888684469
550	and	10.009918980873698
551	scribes	41.234955784209475
552	of	12.688421431438082
553	the	11.64113005271172
554	people	12.046032810888342
555	together	12.579689829449551
556	he	9.897486804234585
557	demanded	17.632310244372007
558	of	14.21933879266239
559	them	11.193496889171872
560	where	13.861982621072773
561	Christ	10.387167152539158
562	should	13.43353536744002
563	be	8.956340527385494
564	born	15.48583701250393
565	And	12.168983821735237
566	they	11.274808198525056
567	said	14.29917498633984
568	unto	18.608107584378388
569	him	10.99326782066267
570	In	15.034184808322825
571	Bethlehem	18.904626641208164
572	of	15.76711522941486
573	Judaea	38.95134010194269
574	for	9.685995055274555
575	thus	13.304334260925597
576	it	14.369865213717395
577	is	12.419648606643188
578	written	11.96878157233123
579	by	11.525653485198934
580	the	13.436726441554896
581	prophet	17.948404199594755
582	And	9.909830224472874
583	None	None
584	None	None
585	None	None
586	None	None
587	None	None
588	None	None
589	None	None
590	None	None
591	None	None
592	None	None
593	None	None
594	None	None
595	None	None
596	None	None
597	None	None
598	None	None
599	None	None
600	None	None
601	None	None
602	None	None
603	None	None
604	None	None
605	None	None
606	None	None
607	None	None
608	None	None
609	None	None
610	None	None
611	None	None
612	None	None
613	None	None
614	None	None
615	None	None
616	None	None
617	None	None
618	None	None
619	None	None
620	None	None
621	None	None
622	None	None
623	None	None
624	None	None
625	None	None
626	None	None
627	None	None
628	None	None
629	None	None
630	None	None
631	None	None
632	None	None
633	None	None
634	None	None
635	None	None
636	None	None
637	None	None
638	None	None
639	None	None
640	None	None
641	None	None
642	None	None
643	None	None
644	None	None
645	None	None
646	None	None
647	None	None
648	None	None
649	None	None
650	None	None
651	None	None
652	None	None
653	None	None
654	None	None
655	None	None
656	None	None
657	None	None
658	None	None
659	None	None
660	None	None
661	None	None
662	None	None
663	None	None
664	None	None
665	None	None
666	None	None
667	None	None
668	None	None
669	None	None
670	None	None
671	None	None
672	None	None
673	None	None
674	None	None
675	None	None
676	None	None
677	None	None
678	None	None
679	None	None
680	None	None
681	None	None
682	None	None
683	None	None
684	None	None
685	None	None
686	None	None
687	None	None
688	None	None
689	None	None
690	None	None
691	None	None
692	None	None
693	None	None
694	None	None
695	None	None
696	None	None
697	None	None
698	None	None
699	None	None
700	None	None
701	None	None
702	None	None
703	None	None
704	None	None
705	None	None
706	None	None
707	None	None
708	None	None
709	None	None
710	None	None
711	None	None
712	None	None
713	None	None
714	None	None
715	None	None
716	None	None
717	None	None
718	None	None
719	None	None
720	None	None
721	None	None
722	None	None
723	None	None
724	None	None
725	None	None
726	None	None
727	None	None
728	None	None
729	None	None
730	None	None
731	None	None
732	None	None
733	None	None
734	None	None
735	None	None
736	None	None
737	None	None
738	None	None
739	None	None
740	None	None
741	None	None
742	None	None
743	None	None
744	None	None
745	None	None
746	None	None
747	None	None
748	None	None
749	None	None
750	None	None
751	None	None
752	None	None
753	None	None
754	None	None
755	None	None
756	None	None
757	None	None
758	None	None
759	None	None
760	None	None
761	None	None
762	None	None
763	None	None
764	None	None
765	None	None
766	None	None
767	None	None
768	None	None
769	None	None
770	None	None
771	None	None
772	None	None
773	None	None
774	None	None
775	None	None
776	None	None
777	None	None
778	None	None
779	None	None
780	None	None
781	None	None
782	None	None
783	None	None
784	None	None
785	None	None
786	None	None
787	None	None
788	None	None
789	None	None
790	None	None
791	None	None
792	None	None
793	None	None
794	None	None
795	None	None
796	None	None
797	None	None
798	None	None
799	None	None
800	None	None
801	None	None
802	None	None
803	None	None
804	None	None
805	None	None
806	None	None
807	None	None
808	None	None
809	None	None
810	None	None
811	None	None
812	None	None
813	None	None
814	None	None
815	None	None
816	None	None
817	None	None
818	None	None
819	None	None
820	None	None
821	None	None
822	None	None
823	None	None
824	None	None
825	None	None
826	None	None
827	None	None
828	None	None
829	None	None
830	None	None
831	None	None
832	None	None
833	None	None
834	None	None
835	None	None
836	None	None
837	None	None
838	None	None
839	None	None
840	None	None
841	None	None
842	None	None
843	None	None
844	None	None
845	None	None
846	None	None
847	None	None
848	None	None
849	None	None
850	None	None
851	None	None
852	None	None
853	None	None
854	None	None
855	None	None
856	None	None
857	None	None
858	None	None
859	None	None
860	None	None
861	None	None
862	None	None
863	None	None
864	None	None
865	None	None
866	None	None
867	None	None
868	None	None
869	None	None
870	None	None
871	None	None
872	None	None
873	None	None
874	None	None
875	None	None
876	None	None
877	None	None
878	None	None
879	None	None
880	None	None
881	None	None
882	None	None
883	None	None
884	None	None
885	None	None
886	None	None
887	None	None
888	None	None
889	None	None
890	None	None
891	None	None
892	None	None
893	None	None
894	None	None
895	None	None
896	None	None
897	None	None
898	None	None
899	None	None
900	None	None
901	None	None
902	None	None
903	None	None
904	None	None
905	None	None
906	None	None
907	None	None
908	None	None
909	None	None
910	None	None
911	None	None
912	None	None
913	None	None
914	None	None
915	None	None
916	None	None
917	None	None
918	None	None
919	None	None
920	None	None
921	None	None
922	None	None
923	None	None
924	None	None
925	None	None
926	None	None
927	None	None
928	None	None
929	None	None
930	None	None
931	None	None
932	None	None
933	None	None
934	None	None
935	None	None
936	None	None
937	None	None
938	None	None
939	None	None
940	None	None
941	None	None
942	None	None
943	None	None
944	None	None
945	None	None
946	None	None
947	None	None
948	None	None
949	None	None
950	None	None
951	None	None
952	None	None
953	None	None
954	None	None
955	None	None
956	None	None
957	None	None
958	None	None
959	None	None
960	None	None
961	None	None
962	None	None
963	None	None
964	None	None
965	None	None
966	None	None
967	None	None
968	None	None
969	None	None
970	None	None
971	None	None
972	None	None
973	None	None
974	None	None
975	None	None
976	None	None
977	None	None
978	None	None
979	None	None
980	None	None
981	None	None
982	None	None
983	None	None
984	None	None
985	None	None
986	None	None
987	None	None
988	None	None
989	None	None
990	None	None
991	None	None
992	None	None
993	None	None
994	None	None
995	None	None
996	None	None
997	None	None
998	None	None
999	None	None
1000	None	None
1001	None	None
1002	None	None
1003	None	None
1004	None	None
1005	None	None
1006	None	None
1007	None	None
1008	None	None
1009	None	None
1010	None	None
1011	None	None
1012	None	None
1013	None	None
1014	None	None
1015	None	None
1016	None	None
1017	None	None
1018	None	None
1019	None	None
1020	None	None
1021	None	None
1022	None	None
1023	None	None
1024	None	None
1025	None	None
1026	None	None
1027	None	None
1028	None	None
1029	None	None
1030	None	None
1031	None	None
1032	None	None
1033	None	None
1034	None	None
1035	None	None
1036	None	None
1037	None	None
1038	None	None
1039	None	None
1040	None	None
1041	None	None
1042	None	None
1043	None	None
1044	None	None
1045	None	None
1046	None	None
1047	None	None
1048	None	None
1049	None	None
1050	None	None
1051	None	None
1052	None	None
1053	None	None
1054	None	None
1055	None	None
1056	None	None
1057	None	None
1058	None	None
1059	None	None
1060	None	None
1061	None	None
1062	None	None
1063	None	None
1064	None	None
1065	None	None
1066	None	None
1067	None	None
1068	None	None
1069	None	None
1070	None	None
1071	None	None
1072	None	None
1073	None	None
1074	None	None
1075	None	None
1076	None	None
1077	None	None
1078	None	None
1079	None	None
1080	None	None
1081	None	None
1082	None	None
1083	None	None
1084	None	None
1085	None	None
1086	None	None
1087	None	None
1088	None	None
1089	None	None
1090	None	None
1091	None	None
1092	In	19.092073844375868
1093	those	12.958513627192772
1094	days	14.733909777351368
1095	came	17.473206239098865
1096	John	9.511342560644275
1097	the	18.31347948957299
1098	Baptist	14.019274756765256
1099	preaching	17.211537542629216
1100	in	10.676007252413944
1101	the	13.538325220968465
1102	wilderness	14.938882322866029
1103	of	14.618087581476455
1104	Judaea	38.650318761822206
1105	And	15.36678213153383
1106	saying	13.594132200079837
1107	Repent	30.02948558586981
1108	ye	17.34023923062626
1109	for	12.47845562911391
1110	the	14.123182011285452
1111	kingdom	16.110046965046177
1112	of	13.162420666373073
1113	heaven	17.23879879867214
1114	is	13.151754924716572
1115	at	13.249799048920151
1116	hand	14.042472450988859
1117	For	14.138684831538967
1118	this	11.219272820961137
1119	is	12.081985634507388
1120	he	9.744812766755553
1121	that	8.878797399173292
1122	was	12.784017981633227
1123	spoken	15.879568303658854
1124	of	10.43820852106118
1125	by	10.754266407669114
1126	the	12.078082720251015
1127	prophet	18.127517773707254
1128	Esaias	40.853204818744764
1129	saying	13.838956251729002
1130	The	10.859469912928624
1131	voice	16.823201543941835
1132	of	14.379068189062465
1133	one	11.580325483235097
1134	crying	17.81609192329255
1135	in	13.027614379746344
1136	the	13.173227804112289
1137	wilderness	19.285588759542602
1138	Prepare	20.992988307564577
1139	ye	18.257534612493714
1140	the	13.498074641219665
1141	way	13.770466332388601
1142	of	15.156726140869218
1143	the	11.806754548073693
1144	Lord	9.826051786137828
1145	make	14.14981659679409
1146	his	11.856492066115875
1147	paths	17.014808984026853
1148	straight	11.124575350285712
