	chapter	tokens
0	01	the
1	01	book
2	01	of
3	01	the
4	01	generation
5	01	of
6	01	jesus
7	01	christ
8	01	the
9	01	son
10	01	of
11	01	david
12	01	the
13	01	son
14	01	of
15	01	abraham
16	01	abraham
17	01	begat
18	01	isaac
19	01	and
20	01	isaac
21	01	begat
22	01	jacob
23	01	and
24	01	jacob
25	01	begat
26	01	judas
27	01	and
28	01	his
29	01	brethren
30	01	and
31	01	judas
32	01	begat
33	01	phares
34	01	and
35	01	zara
36	01	of
37	01	thamar
38	01	and
39	01	phares
40	01	begat
41	01	esrom
42	01	and
43	01	esrom
44	01	begat
45	01	aram
46	01	and
47	01	aram
48	01	begat
49	01	aminadab
50	01	and
51	01	aminadab
52	01	begat
53	01	naasson
54	01	and
55	01	naasson
56	01	begat
57	01	salmon
58	01	and
59	01	salmon
60	01	begat
61	01	booz
62	01	of
63	01	rachab
64	01	and
65	01	booz
66	01	begat
67	01	obed
68	01	of
69	01	ruth
70	01	and
71	01	obed
72	01	begat
73	01	jesse
74	01	and
75	01	jesse
76	01	begat
77	01	david
78	01	the
79	01	king
80	01	and
81	01	david
82	01	the
83	01	king
84	01	begat
85	01	solomon
86	01	of
87	01	her
88	01	that
89	01	had
90	01	been
91	01	the
92	01	wife
93	01	of
94	01	urias
95	01	and
96	01	solomon
97	01	begat
98	01	roboam
99	01	and
100	01	roboam
101	01	begat
102	01	abia
103	01	and
104	01	abia
105	01	begat
106	01	asa
107	01	and
108	01	asa
109	01	begat
110	01	josaphat
111	01	and
112	01	josaphat
113	01	begat
114	01	joram
115	01	and
116	01	joram
117	01	begat
118	01	ozias
119	01	and
120	01	ozias
121	01	begat
122	01	joatham
123	01	and
124	01	joatham
125	01	begat
126	01	achaz
127	01	and
128	01	achaz
129	01	begat
130	01	ezekias
131	01	and
132	01	ezekias
133	01	begat
134	01	manasses
135	01	and
136	01	manasses
137	01	begat
138	01	amon
139	01	and
140	01	amon
141	01	begat
142	01	josias
143	01	and
144	01	josias
145	01	begat
146	01	jechonias
147	01	and
148	01	his
149	01	brethren
150	01	about
151	01	the
152	01	time
153	01	they
154	01	were
155	01	carried
156	01	away
157	01	to
158	01	babylon
159	01	and
160	01	after
161	01	they
162	01	were
163	01	brought
164	01	to
165	01	babylon
166	01	jechonias
167	01	begat
168	01	salathiel
169	01	and
170	01	salathiel
171	01	begat
172	01	zorobabel
173	01	and
174	01	zorobabel
175	01	begat
176	01	abiud
177	01	and
178	01	abiud
179	01	begat
180	01	eliakim
181	01	and
182	01	eliakim
183	01	begat
184	01	azor
185	01	and
186	01	azor
187	01	begat
188	01	sadoc
189	01	and
190	01	sadoc
191	01	begat
192	01	achim
193	01	and
194	01	achim
195	01	begat
196	01	eliud
197	01	and
198	01	eliud
199	01	begat
200	01	eleazar
201	01	and
202	01	eleazar
203	01	begat
204	01	matthan
205	01	and
206	01	matthan
207	01	begat
208	01	jacob
209	01	and
210	01	jacob
211	01	begat
212	01	joseph
213	01	the
214	01	husband
215	01	of
216	01	mary
217	01	of
218	01	whom
219	01	was
220	01	born
221	01	jesus
222	01	who
223	01	is
224	01	called
225	01	christ
226	01	so
227	01	all
228	01	the
229	01	generations
230	01	from
231	01	abraham
232	01	to
233	01	david
234	01	are
235	01	fourteen
236	01	generations
237	01	and
238	01	from
239	01	david
240	01	until
241	01	the
242	01	carrying
243	01	away
244	01	into
245	01	babylon
246	01	are
247	01	fourteen
248	01	generations
249	01	and
250	01	from
251	01	the
252	01	carrying
253	01	away
254	01	into
255	01	babylon
256	01	unto
257	01	christ
258	01	are
259	01	fourteen
260	01	generations
261	01	now
262	01	the
263	01	birth
264	01	of
265	01	jesus
266	01	christ
267	01	was
268	01	on
269	01	this
270	01	wise
271	01	when
272	01	as
273	01	his
274	01	mother
275	01	mary
276	01	was
277	01	espoused
278	01	to
279	01	joseph
280	01	before
281	01	they
282	01	came
283	01	together
284	01	she
285	01	was
286	01	found
287	01	with
288	01	child
289	01	of
290	01	the
291	01	holy
292	01	ghost
293	01	then
294	01	joseph
295	01	her
296	01	husband
297	01	being
298	01	a
299	01	just
300	01	man
301	01	and
302	01	not
303	01	willing
304	01	to
305	01	make
306	01	her
307	01	a
308	01	public
309	01	example
310	01	was
311	01	minded
312	01	to
313	01	put
314	01	her
315	01	away
316	01	privily
317	01	but
318	01	while
319	01	he
320	01	thought
321	01	on
322	01	these
323	01	things
324	01	behold
325	01	the
326	01	angel
327	01	of
328	01	the
329	01	lord
330	01	appeared
331	01	unto
332	01	him
333	01	in
334	01	a
335	01	dream
336	01	saying
337	01	joseph
338	01	thou
339	01	son
340	01	of
341	01	david
342	01	fear
343	01	not
344	01	to
345	01	take
346	01	unto
347	01	thee
348	01	mary
349	01	thy
350	01	wife
351	01	for
352	01	that
353	01	which
354	01	is
355	01	conceived
356	01	in
357	01	her
358	01	is
359	01	of
360	01	the
361	01	holy
362	01	ghost
363	01	and
364	01	she
365	01	shall
366	01	bring
367	01	forth
368	01	a
369	01	son
370	01	and
371	01	thou
372	01	shalt
373	01	call
374	01	his
375	01	name
376	01	jesus
377	01	for
378	01	he
379	01	shall
380	01	save
381	01	his
382	01	people
383	01	from
384	01	their
385	01	sins
386	01	now
387	01	all
388	01	this
389	01	was
390	01	done
391	01	that
392	01	it
393	01	might
394	01	be
395	01	fulfilled
396	01	which
397	01	was
398	01	spoken
399	01	of
400	01	the
401	01	lord
402	01	by
403	01	the
404	01	prophet
405	01	saying
406	01	behold
407	01	a
408	01	virgin
409	01	shall
410	01	be
411	01	with
412	01	child
413	01	and
414	01	shall
415	01	bring
416	01	forth
417	01	a
418	01	son
419	01	and
420	01	they
421	01	shall
422	01	call
423	01	his
424	01	name
425	01	emmanuel
426	01	which
427	01	being
428	01	interpreted
429	01	is
430	01	god
431	01	with
432	01	us
433	01	then
434	01	joseph
435	01	being
436	01	raised
437	01	from
438	01	sleep
439	01	did
440	01	as
441	01	the
442	01	angel
443	01	of
444	01	the
445	01	lord
446	01	had
447	01	bidden
448	01	him
449	01	and
450	01	took
451	01	unto
452	01	him
453	01	his
454	01	wife
455	01	and
456	01	knew
457	01	her
458	01	not
459	01	till
460	01	she
461	01	had
462	01	brought
463	01	forth
464	01	her
465	01	firstborn
466	01	son
467	01	and
468	01	he
469	01	called
470	01	his
471	01	name
472	01	jesus
473	02	now
474	02	when
475	02	jesus
476	02	was
477	02	born
478	02	in
479	02	bethlehem
480	02	of
481	02	judaea
482	02	in
483	02	the
484	02	days
485	02	of
486	02	herod
487	02	the
488	02	king
489	02	behold
490	02	there
491	02	came
492	02	wise
493	02	men
494	02	from
495	02	the
496	02	east
497	02	to
498	02	jerusalem
499	02	saying
500	02	where
501	02	is
502	02	he
503	02	that
504	02	is
505	02	born
506	02	king
507	02	of
508	02	the
509	02	jews
510	02	for
511	02	we
512	02	have
513	02	seen
514	02	his
515	02	star
516	02	in
517	02	the
518	02	east
519	02	and
520	02	are
521	02	come
522	02	to
523	02	worship
524	02	him
525	02	when
526	02	herod
527	02	the
528	02	king
529	02	had
530	02	heard
531	02	these
532	02	things
533	02	he
534	02	was
535	02	troubled
536	02	and
537	02	all
538	02	jerusalem
539	02	with
540	02	him
541	02	and
542	02	when
543	02	he
544	02	had
545	02	gathered
546	02	all
547	02	the
548	02	chief
549	02	priests
550	02	and
551	02	scribes
552	02	of
553	02	the
554	02	people
555	02	together
556	02	he
557	02	demanded
558	02	of
559	02	them
560	02	where
561	02	christ
562	02	should
563	02	be
564	02	born
565	02	and
566	02	they
567	02	said
568	02	unto
569	02	him
570	02	in
571	02	bethlehem
572	02	of
573	02	judaea
574	02	for
575	02	thus
576	02	it
577	02	is
578	02	written
579	02	by
580	02	the
581	02	prophet
582	02	and
583	02	thou
584	02	bethlehem
585	02	in
586	02	the
587	02	land
588	02	of
589	02	juda
590	02	art
591	02	not
592	02	the
593	02	least
594	02	among
595	02	the
596	02	princes
597	02	of
598	02	juda
599	02	for
600	02	out
601	02	of
602	02	thee
603	02	shall
604	02	come
605	02	a
606	02	governor
607	02	that
608	02	shall
609	02	rule
610	02	my
611	02	people
612	02	israel
613	02	then
614	02	herod
615	02	when
616	02	he
617	02	had
618	02	privily
619	02	called
620	02	the
621	02	wise
622	02	men
623	02	enquired
624	02	of
625	02	them
626	02	diligently
627	02	what
628	02	time
629	02	the
630	02	star
631	02	appeared
632	02	and
633	02	he
634	02	sent
635	02	them
636	02	to
637	02	bethlehem
638	02	and
639	02	said
640	02	go
641	02	and
642	02	search
643	02	diligently
644	02	for
645	02	the
646	02	young
647	02	child
648	02	and
649	02	when
650	02	ye
651	02	have
652	02	found
653	02	him
654	02	bring
655	02	me
656	02	word
657	02	again
658	02	that
659	02	i
660	02	may
661	02	come
662	02	and
663	02	worship
664	02	him
665	02	also
666	02	when
667	02	they
668	02	had
669	02	heard
670	02	the
671	02	king
672	02	they
673	02	departed
674	02	and
675	02	lo
676	02	the
677	02	star
678	02	which
679	02	they
680	02	saw
681	02	in
682	02	the
683	02	east
684	02	went
685	02	before
686	02	them
687	02	till
688	02	it
689	02	came
690	02	and
691	02	stood
692	02	over
693	02	where
694	02	the
695	02	young
696	02	child
697	02	was
698	02	when
699	02	they
700	02	saw
701	02	the
702	02	star
703	02	they
704	02	rejoiced
705	02	with
706	02	exceeding
707	02	great
708	02	joy
709	02	and
710	02	when
711	02	they
712	02	were
713	02	come
714	02	into
715	02	the
716	02	house
717	02	they
718	02	saw
719	02	the
720	02	young
721	02	child
722	02	with
723	02	mary
724	02	his
725	02	mother
726	02	and
727	02	fell
728	02	down
729	02	and
730	02	worshipped
731	02	him
732	02	and
733	02	when
734	02	they
735	02	had
736	02	opened
737	02	their
738	02	treasures
739	02	they
740	02	presented
741	02	unto
742	02	him
743	02	gifts
744	02	gold
745	02	and
746	02	frankincense
