	tokens	surprisal
0	The	0.4419768741625032
1	book	11.376977442523119
2	of	9.391492147518175
3	the	0.9870969167550698
4	generation	13.236720858755948
5	of	0.7316406176537372
6	Jesus	0.05613594759985229
7	Christ	2.2743549885113383
8	the	0.05327725228852558
9	son	0.8986797233453517
10	of	0.004357822081320632
11	David	5.081113202715956
12	the	0.10065893630559179
13	son	1.2084515491388963
14	of	0.003043603529011783
15	Abraham	8.634805732323438
16	Abraham	4.473149538324463
17	begat	0.6912236451653184
18	Isaac	6.844813805724877
19	and	5.392619902100774
20	Isaac	9.93518307682358
21	begat	0.09109499254104839
22	Jacob	8.4698329021148
23	and	4.2565350527782195
24	Jacob	4.944322860123621
25	begat	0.07053286601767768
26	Judas	0.04564489812671751
27	and	4.0645426622019745
28	his	1.6236706870999413
29	brethren	13.16747541232062
30	And	2.494868580828551
31	Judas	0.3809511003536073
32	begat	0.009073777013509254
33	Phares	0.4942446703324581
34	and	4.431523576727298
35	Zara	11.310329928795081
36	of	1.303643684515458
37	Thamar	16.54239157670722
38	and	1.497117948953645
39	Phares	2.647817093007109
40	begat	0.005458019190131299
41	Esrom	0.4695406964871984
42	and	5.675177521930065
43	Esrom	1.3226059414365738
44	begat	0.007976445086955341
45	Aram	0.16842354220237704
46	And	0.21837324402351832
47	Aram	1.060533806172762
48	begat	0.006695120759598793
49	Aminadab	0.1302343675062075
50	and	3.2761994030800654
51	Aminadab	0.1633778753621337
52	begat	0.008792468491738412
53	Naasson	3.5847770430250554
54	and	1.566715620335494
55	Naasson	5.226042737498116
56	begat	0.012479525792622327
57	Salmon	15.617596556813352
58	And	0.07691393820116475
59	Salmon	21.747847254899714
60	begat	0.0049482977911931725
61	Booz	0.11998712615795026
62	of	0.024007233625207583
63	Rachab	33.983890360820595
64	and	1.2792913739927787
65	Booz	0.21686834259187576
66	begat	0.011511576109103434
67	Obed	2.265230513190687
68	of	3.1350132672478885
69	Ruth	11.639293409076094
70	and	2.659472620953894
71	Obed	2.22702290815325
72	begat	0.01430781584069343
73	Jesse	11.79277829587383
74	And	0.0768472751249281
75	Jesse	15.633556514939777
76	begat	0.07977401215279714
77	David	10.81688683520367
78	the	0.06255424672212825
79	king	2.75305098321463
80	and	7.020754764090961
81	David	15.370952717799003
82	the	0.038670072598019314
83	king	6.901159097245849
84	begat	0.8785778298147177
85	Solomon	6.196986056443177
86	of	6.448707493523301
87	her	10.519653901662997
88	that	8.074467110023026
89	had	0.4568167470553234
90	been	1.2006658033166846
91	the	0.12442995662414534
92	wife	5.299167685660402
93	of	0.015011251482446489
94	Urias	16.076133831896165
95	And	0.0592195398156539
96	Solomon	9.529633679787832
97	begat	0.007555325781518924
98	Roboam	0.23313703673747924
99	and	3.317076012111543
100	Roboam	0.6827017423109812
101	begat	0.008841473886106526
102	Abia	1.1098946126364075
103	and	5.4533799732689365
104	Abia	1.7686449651765923
105	begat	0.006119091519669203
106	Asa	0.9054760424534808
107	And	0.22804433685739017
108	Asa	3.272161770316525
109	begat	0.004913169598299224
110	Josaphat	0.06049998263963051
111	and	3.231719140961897
112	Josaphat	0.09512489631360398
113	begat	0.006454280181984605
114	Joram	0.923183096472575
115	and	3.9312951851373277
116	Joram	2.554008597827964
117	begat	0.008265623560222
118	Ozias	0.10836367658543741
119	And	0.10870420462516084
120	Ozias	0.5602196180086635
121	begat	0.005265612083092161
122	Joatham	0.4511991988201486
123	and	2.7314465779220187
